Algorithm,Lambda,CloudletId,Length,VmId,SubmissionTime,StartTime,FinishTime,ExecutionTime,WaitingTime
Min-Min,20.0000,270,3237,15,13.8460,13.9460,62.5120,48.5660,0.1000
Min-Min,20.0000,711,1196,6,35.9051,36.0051,62.8420,26.8369,0.1000
Min-Min,20.0000,534,1971,12,27.0922,27.1922,63.1720,35.9798,0.1000
Min-Min,20.0000,552,1859,9,28.0890,28.1890,63.1720,34.9830,0.1000
Min-Min,20.0000,286,3117,10,14.5639,14.6639,63.2820,48.6181,0.1000
Min-Min,20.0000,509,2114,7,25.5638,25.6638,63.5020,37.8382,0.1000
Min-Min,20.0000,75,6537,8,3.5244,3.6244,63.5020,59.8776,0.1000
Min-Min,20.0000,540,1829,18,27.4628,27.5628,63.9420,36.3792,0.1000
Min-Min,20.0000,589,1669,6,29.8467,29.9467,64.0520,34.1053,0.1000
Min-Min,20.0000,337,2701,1,17.2767,17.3767,64.1620,46.7853,0.1000
Min-Min,20.0000,641,1501,18,32.3796,32.4796,64.1620,31.6824,0.1000
Min-Min,20.0000,22,8558,19,1.0868,1.1868,64.3820,63.1952,0.1000
Min-Min,20.0000,143,5009,12,7.3633,7.4633,64.7160,57.2527,0.1000
Min-Min,20.0000,261,3803,6,13.0647,13.1647,64.9360,51.7713,0.1000
Min-Min,20.0000,115,5486,5,5.6237,5.7237,65.2780,59.5543,0.1000
Min-Min,20.0000,684,1393,19,34.5354,34.6354,65.4980,30.8626,0.1000
Min-Min,20.0000,563,1883,0,28.6805,28.7805,65.7180,36.9375,0.1000
Min-Min,20.0000,60,6740,16,2.9672,3.0672,66.0480,62.9808,0.1000
Min-Min,20.0000,468,2414,7,23.6301,23.7301,66.3820,42.6519,0.1000
Min-Min,20.0000,740,1125,11,37.4721,37.5721,66.7630,29.1909,0.1000
Min-Min,20.0000,495,2367,13,24.7863,24.8863,66.7630,41.8767,0.1000
Min-Min,20.0000,631,1712,8,32.0033,32.1033,66.8730,34.7697,0.1000
Min-Min,20.0000,213,3860,19,10.8511,10.9511,66.8730,55.9219,0.1000
Min-Min,20.0000,451,2331,10,22.9013,23.0013,67.6020,44.6007,0.1000
Min-Min,20.0000,224,3907,10,11.2636,11.3636,67.8920,56.5284,0.1000
Min-Min,20.0000,566,2208,3,28.8174,28.9174,68.1120,39.1946,0.1000
Min-Min,20.0000,239,3877,4,11.9323,12.0323,68.1120,56.0797,0.1000
Min-Min,20.0000,215,3842,1,10.9331,11.0331,68.2220,57.1889,0.1000
Min-Min,20.0000,363,2873,4,18.4166,18.5166,68.6620,50.1454,0.1000
Min-Min,20.0000,731,1508,5,36.9321,37.0321,68.7720,31.7399,0.1000
Min-Min,20.0000,245,3735,10,12.3728,12.4728,68.8820,56.4092,0.1000
Min-Min,20.0000,65,6756,0,3.2611,3.3611,68.9920,65.6309,0.1000
Min-Min,20.0000,513,1942,11,25.6875,25.7875,69.7850,43.9975,0.1000
Min-Min,20.0000,909,1047,9,46.2895,46.3895,69.8950,23.5055,0.1000
Min-Min,20.0000,766,1375,19,38.6925,38.7925,69.8950,31.1025,0.1000
Min-Min,20.0000,294,3481,18,15.1243,15.2243,70.0050,54.7807,0.1000
Min-Min,20.0000,616,1978,13,31.3554,31.4554,70.3350,38.8796,0.1000
Min-Min,20.0000,666,1681,2,33.7043,33.8043,70.4450,36.6407,0.1000
Min-Min,20.0000,860,1229,12,43.9089,44.0089,70.4450,26.4361,0.1000
Min-Min,20.0000,488,2428,6,24.4400,24.5400,70.4450,45.9050,0.1000
Min-Min,20.0000,13,8971,10,0.7237,0.8237,70.8740,70.0503,0.1000
Min-Min,20.0000,50,8018,6,2.4567,2.5567,70.9840,68.4273,0.1000
Min-Min,20.0000,525,2567,3,26.5533,26.6533,71.2040,44.5507,0.1000
Min-Min,20.0000,354,2975,16,18.1057,18.2057,71.4240,53.2183,0.1000
Min-Min,20.0000,252,4065,17,12.6219,12.7219,71.6440,58.9221,0.1000
Min-Min,20.0000,577,2267,14,29.1837,29.2837,71.8640,42.5803,0.1000
Min-Min,20.0000,567,1988,4,28.8370,28.9370,72.0840,43.1470,0.1000
Min-Min,20.0000,335,3141,19,17.2032,17.3032,72.1940,54.8908,0.1000
Min-Min,20.0000,837,1095,11,42.8100,42.9100,72.4140,29.5040,0.1000
Min-Min,20.0000,56,7255,12,2.7542,2.8542,72.5240,69.6698,0.1000
Min-Min,20.0000,316,3419,0,16.4095,16.5095,72.7540,56.2445,0.1000
Min-Min,20.0000,253,4029,18,12.6782,12.7782,72.8640,60.0858,0.1000
Min-Min,20.0000,544,2221,2,27.6305,27.7305,73.1940,45.4635,0.1000
Min-Min,20.0000,836,1375,9,42.6497,42.7497,73.1940,30.4443,0.1000
Min-Min,20.0000,151,5100,0,7.7731,7.8731,73.7020,65.8289,0.1000
Min-Min,20.0000,797,1457,10,40.5662,40.6662,74.0500,33.3838,0.1000
Min-Min,20.0000,329,3701,13,16.8965,16.9965,74.1600,57.1635,0.1000
Min-Min,20.0000,104,6689,14,5.0344,5.1344,74.1600,69.0256,0.1000
Min-Min,20.0000,507,2581,5,25.5071,25.6071,74.2700,48.6629,0.1000
Min-Min,20.0000,87,6703,18,4.3926,4.4926,74.2700,69.7774,0.1000
Min-Min,20.0000,869,1214,1,44.2969,44.3969,74.3800,29.9831,0.1000
Min-Min,20.0000,469,2718,8,23.8076,23.9076,74.8300,50.9224,0.1000
Min-Min,20.0000,373,3452,13,18.7960,18.8960,74.9400,56.0440,0.1000
Min-Min,20.0000,825,1452,18,42.2923,42.3923,75.0500,32.6577,0.1000
Min-Min,20.0000,325,3595,9,16.7893,16.8893,75.0500,58.1607,0.1000
Min-Min,20.0000,556,2434,13,28.4135,28.5135,75.1600,46.6465,0.1000
Min-Min,20.0000,595,2329,12,30.2415,30.3415,75.3800,45.0385,0.1000
Min-Min,20.0000,268,4239,13,13.7728,13.8728,75.3800,61.5072,0.1000
Min-Min,20.0000,435,3105,14,22.0870,22.1870,75.3800,53.1930,0.1000
Min-Min,20.0000,262,4230,7,13.2300,13.3300,75.4900,62.1600,0.1000
Min-Min,20.0000,555,2491,12,28.2780,28.3780,75.6000,47.2220,0.1000
Min-Min,20.0000,393,3400,13,19.4727,19.5727,75.7100,56.1373,0.1000
Min-Min,20.0000,28,8702,5,1.4751,1.5751,75.7100,74.1349,0.1000
Min-Min,20.0000,862,1537,14,43.9625,44.0625,75.8200,31.7575,0.1000
Min-Min,20.0000,788,1476,1,40.2345,40.3345,75.9300,35.5955,0.1000
Min-Min,20.0000,177,4940,5,8.9025,9.0025,76.6040,67.6015,0.1000
Min-Min,20.0000,483,2657,2,24.3432,24.4432,76.8240,52.3808,0.1000
Min-Min,20.0000,543,2276,1,27.6273,27.7273,76.9340,49.2067,0.1000
Min-Min,20.0000,944,1236,15,47.7945,47.8945,76.9340,29.0395,0.1000
Min-Min,20.0000,101,5493,11,4.8952,4.9952,77.4380,72.4428,0.1000
Min-Min,20.0000,458,2997,17,23.1164,23.2164,77.4380,54.2216,0.1000
Min-Min,20.0000,263,4094,8,13.3744,13.4744,77.4380,63.9636,0.1000
Min-Min,20.0000,78,5838,11,3.7414,3.8414,77.6580,73.8166,0.1000
Min-Min,20.0000,586,2621,3,29.6976,29.7976,77.6580,47.8604,0.1000
Min-Min,20.0000,39,7943,15,2.0101,2.1101,77.8780,75.7679,0.1000
Min-Min,20.0000,608,2337,5,30.9223,31.0223,78.2460,47.2237,0.1000
Min-Min,20.0000,923,1532,14,46.8280,46.9280,78.3560,31.4280,0.1000
Min-Min,20.0000,147,5141,16,7.6669,7.7669,78.4660,70.6991,0.1000
Min-Min,20.0000,336,3583,0,17.2625,17.3625,78.6860,61.3235,0.1000
Min-Min,20.0000,588,2446,5,29.7485,29.8485,78.6860,48.8375,0.1000
Min-Min,20.0000,211,4720,17,10.7995,10.8995,78.7960,67.8965,0.1000
Min-Min,20.0000,42,8722,18,2.1378,2.2378,78.7960,76.5582,0.1000
Min-Min,20.0000,228,4823,14,11.3674,11.4674,78.9060,67.4386,0.1000
Min-Min,20.0000,663,2080,19,33.5912,33.6912,79.0160,45.3248,0.1000
Min-Min,20.0000,281,4068,5,14.4091,14.5091,79.2360,64.7269,0.1000
Min-Min,20.0000,934,1445,5,47.3977,47.4977,79.2360,31.7383,0.1000
Min-Min,20.0000,216,4493,2,10.9941,11.0941,79.4560,68.3619,0.1000
Min-Min,20.0000,848,1638,0,43.3639,43.4639,79.5660,36.1021,0.1000
Min-Min,20.0000,377,3545,17,18.9680,19.0680,79.6760,60.6080,0.1000
Min-Min,20.0000,706,1894,1,35.6844,35.7844,79.7860,44.0016,0.1000
Min-Min,20.0000,382,3329,2,19.0503,19.1503,79.8960,60.7457,0.1000
Min-Min,20.0000,854,1574,6,43.6974,43.7974,80.2260,36.4286,0.1000
Min-Min,20.0000,313,3911,17,16.2364,16.3364,80.2260,63.8896,0.1000
Min-Min,20.0000,1,9497,1,0.1225,0.2225,80.3360,80.1135,0.1000
Min-Min,20.0000,792,1870,5,40.4259,40.5259,80.4460,39.9201,0.1000
Min-Min,20.0000,82,6392,15,4.1595,4.2595,80.6660,76.4065,0.1000
Min-Min,20.0000,427,3200,6,21.6135,21.7135,80.6660,58.9525,0.1000
Min-Min,20.0000,887,1567,19,45.2978,45.3978,80.7760,35.3782,0.1000
Min-Min,20.0000,473,3156,12,23.9377,24.0377,80.9960,56.9583,0.1000
Min-Min,20.0000,112,5946,2,5.4376,5.5376,81.1060,75.5684,0.1000
Min-Min,20.0000,460,2961,19,23.1797,23.2797,81.2160,57.9363,0.1000
Min-Min,20.0000,779,2063,12,39.7402,39.8402,81.4360,41.5958,0.1000
Min-Min,20.0000,240,4580,5,11.9678,12.0678,81.4360,69.3682,0.1000
Min-Min,20.0000,164,5613,12,8.2145,8.3145,81.5460,73.2315,0.1000
Min-Min,20.0000,564,2417,1,28.6920,28.7920,81.6560,52.8640,0.1000
