Algorithm,Lambda,CloudletId,Length,VmId,SubmissionTime,StartTime,FinishTime,ExecutionTime,WaitingTime
FCFS,20.0000,287,2725,7,14.5692,14.6692,51.5234,36.8542,0.1000
FCFS,20.0000,286,3117,6,14.5639,14.6639,51.8420,37.1781,0.1000
FCFS,20.0000,337,2701,17,17.2767,17.3767,53.2540,35.8773,0.1000
FCFS,20.0000,342,2139,2,17.5261,17.6261,53.4740,35.8479,0.1000
FCFS,20.0000,53,6271,13,2.5859,2.6859,54.1161,51.4302,0.1000
FCFS,20.0000,270,3237,10,13.8460,13.9460,54.7480,40.8020,0.1000
FCFS,20.0000,112,5946,12,5.4376,5.5376,54.9680,49.4304,0.1000
FCFS,20.0000,115,5486,15,5.6237,5.7237,55.2980,49.5743,0.1000
FCFS,20.0000,308,2796,8,15.8617,15.9617,55.5180,39.5563,0.1000
FCFS,20.0000,646,1209,6,32.7164,32.8164,55.7380,22.9216,0.1000
FCFS,20.0000,685,1056,5,34.6908,34.7908,55.9580,21.1672,0.1000
FCFS,20.0000,480,1632,0,24.2189,24.3189,56.1780,31.8591,0.1000
FCFS,20.0000,330,2858,10,16.9536,17.0536,56.7493,39.6957,0.1000
FCFS,20.0000,730,1009,10,36.8308,36.9308,56.7493,19.8185,0.1000
FCFS,20.0000,323,2536,3,16.7575,16.8575,57.1871,40.3295,0.1000
FCFS,20.0000,362,2209,2,18.4061,18.5061,58.0030,39.4969,0.1000
FCFS,20.0000,582,1301,2,29.4265,29.5265,58.2230,28.6965,0.1000
FCFS,20.0000,484,1956,4,24.3446,24.4446,58.2230,33.7784,0.1000
FCFS,20.0000,682,1026,2,34.4043,34.5043,58.9360,24.4317,0.1000
FCFS,20.0000,453,2009,13,22.9745,23.0745,59.1560,36.0815,0.1000
FCFS,20.0000,622,1219,2,31.5235,31.6235,59.6070,27.9835,0.1000
FCFS,20.0000,475,1999,15,23.9840,24.0840,59.6070,35.5230,0.1000
FCFS,20.0000,548,1755,8,27.7859,27.8859,59.6070,31.7211,0.1000
FCFS,20.0000,215,3842,15,10.9331,11.0331,60.1000,49.0669,0.1000
FCFS,20.0000,239,3877,19,11.9323,12.0323,60.1000,48.0677,0.1000
FCFS,20.0000,711,1196,11,35.9051,36.0051,60.4705,24.4654,0.1000
FCFS,20.0000,552,1859,12,28.0890,28.1890,61.3970,33.2080,0.1000
FCFS,20.0000,589,1669,9,29.8467,29.9467,62.6350,32.6883,0.1000
FCFS,20.0000,403,2391,3,20.0892,20.1892,62.7450,42.5558,0.1000
FCFS,20.0000,245,3735,5,12.3728,12.4728,62.7450,50.2722,0.1000
FCFS,20.0000,177,4940,17,8.9025,9.0025,62.7450,53.7425,0.1000
FCFS,20.0000,513,1942,13,25.6875,25.7875,62.8550,37.0675,0.1000
FCFS,20.0000,91,6362,11,4.4892,4.5892,62.9650,58.3758,0.1000
FCFS,20.0000,224,3907,4,11.2636,11.3636,62.9650,51.6014,0.1000
FCFS,20.0000,28,8702,8,1.4751,1.5751,63.0750,61.4999,0.1000
FCFS,20.0000,451,2331,11,22.9013,23.0013,63.1850,40.1837,0.1000
FCFS,20.0000,684,1393,4,34.5354,34.6354,63.4050,28.7696,0.1000
FCFS,20.0000,39,7943,19,2.0101,2.1101,63.4050,61.2949,0.1000
FCFS,20.0000,252,4065,12,12.6219,12.7219,63.7580,51.0361,0.1000
FCFS,20.0000,720,1121,0,36.3722,36.4722,63.9780,27.5058,0.1000
FCFS,20.0000,534,1971,14,27.0922,27.1922,64.3080,37.1158,0.1000
FCFS,20.0000,213,3860,13,10.8511,10.9511,64.9340,53.9829,0.1000
FCFS,20.0000,78,5838,18,3.7414,3.8414,64.9340,61.0926,0.1000
FCFS,20.0000,509,2114,9,25.5638,25.6638,64.9340,39.2702,0.1000
FCFS,20.0000,65,6756,5,3.2611,3.3611,65.1540,61.7929,0.1000
FCFS,20.0000,740,1125,0,37.4721,37.5721,65.6700,28.0979,0.1000
FCFS,20.0000,631,1712,11,32.0033,32.1033,65.9600,33.8567,0.1000
FCFS,20.0000,468,2414,8,23.6301,23.7301,66.1800,42.4499,0.1000
FCFS,20.0000,18,8340,18,0.8872,0.9872,66.6115,65.6243,0.1000
FCFS,20.0000,837,1095,17,42.8100,42.9100,66.8315,23.9215,0.1000
FCFS,20.0000,354,2975,14,18.1057,18.2057,67.1615,48.9558,0.1000
FCFS,20.0000,567,1988,7,28.8370,28.9370,67.1615,38.2245,0.1000
FCFS,20.0000,641,1501,1,32.3796,32.4796,67.2715,34.7919,0.1000
FCFS,20.0000,666,1681,6,33.7043,33.8043,67.3815,33.5772,0.1000
FCFS,20.0000,766,1375,6,38.6925,38.7925,67.8285,29.0360,0.1000
FCFS,20.0000,101,5493,1,4.8952,4.9952,68.0485,63.0533,0.1000
FCFS,20.0000,151,5100,11,7.7731,7.8731,68.0485,60.1754,0.1000
FCFS,20.0000,563,1883,3,28.6805,28.7805,68.0485,39.2680,0.1000
FCFS,20.0000,335,3141,15,17.2032,17.3032,68.0485,50.7453,0.1000
FCFS,20.0000,540,1829,0,27.4628,27.5628,68.1585,40.5957,0.1000
FCFS,20.0000,488,2428,8,24.4400,24.5400,68.1585,43.6185,0.1000
FCFS,20.0000,731,1508,11,36.9321,37.0321,68.6785,31.6464,0.1000
FCFS,20.0000,495,2367,15,24.7863,24.8863,69.2085,44.3222,0.1000
FCFS,20.0000,363,2873,3,18.4166,18.5166,69.4285,50.9119,0.1000
FCFS,20.0000,294,3481,14,15.1243,15.2243,69.5385,54.3142,0.1000
FCFS,20.0000,909,1047,9,46.2895,46.3895,69.6485,23.2590,0.1000
FCFS,20.0000,544,2221,4,27.6305,27.7305,70.3580,42.6275,0.1000
FCFS,20.0000,566,2208,6,28.8174,28.9174,70.4680,41.5506,0.1000
FCFS,20.0000,869,1214,9,44.2969,44.3969,71.1740,26.7771,0.1000
FCFS,20.0000,257,4353,17,12.9055,13.0055,71.3940,58.3885,0.1000
FCFS,20.0000,797,1457,17,40.5662,40.6662,72.0020,31.3358,0.1000
FCFS,20.0000,788,1476,8,40.2345,40.3345,72.0020,31.6675,0.1000
FCFS,20.0000,577,2267,17,29.1837,29.2837,72.2220,42.9383,0.1000
FCFS,20.0000,332,3636,12,17.0438,17.1438,72.3320,55.1882,0.1000
FCFS,20.0000,616,1978,16,31.3554,31.4554,72.8205,41.3651,0.1000
